id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,room_type
34897239,"Plaza Santa Ana, 50 sq.m, 5 people, 1 bedroom, 2D",105708985,Rafael,Centro,Cortes,40,-3,65,2,3,27/08/2019,1.8,27,334,Entire home/apt
34897318,Full flat for the Champions League,51297641,Marti,Chamberí,Gaztambide,40,-3,230,2,0,01/01/2019,0,1,89,Entire home/apt
34897422,"Retiro area, easy connections with Wanda & airport",132288116,Teresa,Retiro,Ibiza,40,-3,60,30,0,01/01/2019,0,1,63,Entire home/apt
34897946,Luminoso piso en Madrid centro,24817586,Anna,Carabanchel,Opañel,40,-3,260,2,0,01/01/2019,0,1,348,Entire home/apt
34898021,2 ROOMS FOR FINAL CHAMPIONS LEAGE.,34826897,Ana,Barajas,Alameda de Osuna,40,-3,500,1,0,01/01/2019,0,1,261,Private room
34898811,Habitación privada para Champions,88446794,Sergio,Usera,Pradolongo,40,-3,150,2,0,01/01/2019,0,1,88,Private room
34899184,"Estudio, Callao",19339182,Jose Antonio,Centro,Sol,40,-3,700,1,0,01/01/2019,0,1,365,Entire home/apt
34899217,Double bedroom 10min by car to final champions!!!!,39174919,Carlos,Villa de Vallecas,Casco Histórico de Vallecas,40,-3,400,1,0,01/01/2019,0,3,137,Private room
34899268,Habitacion Sandra.,144954143,Gla,Carabanchel,Buenavista,40,-3,99,3,1,03/06/2019,0.28,2,180,Private room
34899599,"Exterior apartment,renovated, very well connected.",74680720,Pilar,Tetuán,Cuatro Caminos,40,-3,150,2,1,01/06/2019,0.27,1,0,Entire home/apt
34900412,VERY PRIVATE ROOM FOR CHAMPIONS!! WANDA,175278552,Roger,Carabanchel,San Isidro,40,-3,300,1,0,01/01/2019,0,3,0,Private room
34901390,Luxury Apartment in Madrid Center Champions League,17673726,Alexandra,Moncloa - Aravaca,Casa de Campo,40,-3,700,2,0,01/01/2019,0,2,364,Entire home/apt
34901455,"Ático con terraza para el Wanda,te llevo en 10min!",262719085,Ana Belén,Hortaleza,Valdefuentes,40,-3,150,3,1,02/06/2019,0.27,2,0,Private room
34901760,PRIVATE DOUBLE BEDROOM IN CHUECA / CITY CENTRE,248490932,Bobby,Centro,Justicia,40,-3,120,2,1,03/06/2019,0.28,2,0,Private room
