price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,room_type
100,5,2,0.02,2,240,Entire home/apt
43,3,13,0.15,1,361,Private room
40,7,4,0.06,2,323,Private room
200,1,4,0.05,1,287,Entire home/apt
120,3,173,1.96,1,274,Entire home/apt
80,5,23,0.26,1,323,Entire home/apt
35,55,100,1.12,3,274,Private room
90,3,23,0.3,56,319,Entire home/apt
25,2,190,2.15,1,322,Private room
25,6,8,0.1,5,322,Private room
70,1,501,5.57,4,282,Entire home/apt
30,3,7,0.08,1,0,Entire home/apt
85,2,14,0.16,1,219,Entire home/apt
48,3,264,2.96,1,161,Entire home/apt
55,4,87,0.97,3,0,Entire home/apt
30,2,4,0.15,1,79,Private room
81,3,14,0.24,56,315,Entire home/apt
82,3,28,0.46,56,323,Entire home/apt
112,2,53,0.6,1,198,Entire home/apt
75,3,11,0.23,1,254,Entire home/apt
85,3,60,0.67,1,261,Entire home/apt
90,2,27,0.31,1,150,Entire home/apt
59,4,243,2.73,1,312,Entire home/apt
75,3,45,0.73,56,328,Entire home/apt
83,2,38,0.43,1,218,Entire home/apt
81,3,34,0.57,56,337,Entire home/apt
82,4,19,0.22,56,300,Entire home/apt
82,3,130,1.54,56,312,Entire home/apt
83,3,15,0.2,56,28,Entire home/apt
50,3,18,0.21,1,217,Private room
85,4,7,0.08,3,318,Entire home/apt
350,3,14,0.16,1,88,Entire home/apt
88,5,8,0.13,56,333,Entire home/apt
60,1,60,0.79,2,39,Private room
85,1,324,3.67,4,325,Entire home/apt
190,2,27,0.31,2,0,Entire home/apt
69,2,189,2.22,1,316,Entire home/apt
50,4,201,2.28,1,5,Entire home/apt
60,1,192,2.24,4,232,Entire home/apt
97,4,143,1.75,1,241,Entire home/apt
110,4,0,0,1,48,Entire home/apt
45,3,73,1.77,1,279,Private room
52,1,347,7.89,1,55,Entire home/apt
84,3,22,0.25,3,97,Entire home/apt
60,2,4,0.14,1,323,Private room
17,4,27,0.32,2,48,Private room
25,10,20,0.24,5,342,Private room
63,2,112,2.55,1,344,Entire home/apt
25,10,15,0.19,5,334,Private room
40,2,8,0.12,1,230,Private room
85,2,58,0.71,9,0,Entire home/apt
30,30,0,0,4,261,Private room
67,3,104,1.21,11,133,Entire home/apt
75,2,79,1.3,2,333,Entire home/apt
65,2,350,4.13,1,313,Private room
19,2,1,0.01,1,0,Private room
39,2,463,5.24,1,328,Entire home/apt
34,2,483,5.68,1,106,Private room
55,2,458,5.23,2,305,Entire home/apt
24,1,372,4.25,1,163,Private room
40,120,0,0,2,364,Private room
70,3,3,0.06,1,0,Entire home/apt
22,1,9,0.1,2,31,Private room
56,2,224,2.55,3,57,Entire home/apt
300,5,0,0,1,0,Entire home/apt
23,2,34,0.44,2,201,Private room
40,1,4,0.06,1,0,Entire home/apt
38,3,60,0.72,1,323,Private room
90,5,134,1.59,1,133,Entire home/apt
99,3,34,0.4,4,335,Entire home/apt
50,7,1,0.02,1,89,Private room
65,30,216,2.49,1,0,Entire home/apt
30,2,238,2.71,1,324,Private room
33,3,2,0.04,1,349,Private room
35,1,1,0.36,1,362,Private room
105,5,64,0.88,3,204,Entire home/apt
100,5,23,0.32,30,311,Hotel room
57,2,157,2.48,1,156,Entire home/apt
50,180,30,0.35,2,183,Entire home/apt
20,2,195,2.37,1,1,Private room
22,2,27,0.32,1,321,Private room
30,3,0,0,1,0,Private room
78,1,361,4.27,1,127,Entire home/apt
95,2,318,3.66,5,312,Entire home/apt
60,366,102,1.21,1,90,Entire home/apt
67,2,225,5.75,1,215,Entire home/apt
33,1,323,3.72,23,92,Entire home/apt
85,30,30,0.42,1,61,Entire home/apt
190,2,5,0.07,1,0,Entire home/apt
165,4,53,0.88,1,171,Entire home/apt
30,7,53,0.62,2,160,Private room
105,1,378,4.46,6,3,Entire home/apt
24,2,19,0.22,1,264,Private room
155,2,114,1.45,2,78,Entire home/apt
85,3,69,0.92,1,0,Entire home/apt
30,30,7,0.08,1,90,Private room
37,2,370,4.28,9,30,Entire home/apt
75,1,455,5.32,4,316,Entire home/apt
85,4,3,0.07,3,300,Entire home/apt
110,6,2,0.03,1,48,Entire home/apt
19,1,52,0.73,11,234,Private room
29,1,36,0.68,3,266,Private room
19,3,147,1.72,2,55,Private room
25,7,11,0.13,1,0,Entire home/apt
24,2,11,1.16,1,49,Private room
45,2,3,0.04,1,0,Private room
65,3,413,4.76,5,39,Entire home/apt
70,3,7,0.08,1,0,Entire home/apt
23,1,74,0.87,1,0,Private room
60,3,97,1.13,1,96,Entire home/apt
70,3,267,3.13,5,30,Entire home/apt
60,2,25,0.33,1,0,Entire home/apt
50,120,4,0.14,2,270,Private room
140,2,184,2.15,3,271,Entire home/apt
250,1,64,0.75,4,0,Entire home/apt
75,3,1,0.01,1,0,Entire home/apt
45,4,40,0.48,3,17,Private room
197,3,27,0.36,2,132,Entire home/apt
20,3,53,0.73,2,0,Private room
16,1,44,0.51,11,312,Private room
22,4,45,0.53,11,201,Private room
25,7,0,0,2,292,Private room
70,3,99,1.17,1,176,Private room
39,3,311,3.68,1,269,Entire home/apt
125,3,11,0.14,4,350,Entire home/apt
40,1,53,0.78,1,55,Private room
30,1,0,0,2,322,Private room
65,5,24,0.28,1,294,Entire home/apt
29,14,5,0.12,2,283,Private room
30,1,85,1,10,165,Private room
22,1,4,0.08,1,0,Private room
45,4,78,1.07,2,323,Private room
80,3,9,0.11,1,329,Entire home/apt
75,3,87,1.06,1,230,Entire home/apt
149,1,304,3.71,4,308,Entire home/apt
45,3,7,0.09,1,271,Private room
80,2,20,0.24,1,0,Entire home/apt
210,5,51,0.62,17,271,Entire home/apt
25,2,5,0.3,3,292,Private room
20,1,1,0.02,1,0,Entire home/apt
108,2,134,1.84,1,182,Entire home/apt
155,2,61,1.43,5,312,Entire home/apt
40,1,12,0.22,1,363,Private room
75,2,109,1.32,9,337,Entire home/apt
40,1,15,0.18,1,190,Private room
23,3,72,0.86,3,26,Private room
37,2,21,0.4,3,78,Private room
98,3,151,1.8,10,142,Entire home/apt
75,3,210,2.5,1,54,Entire home/apt
75,3,145,2.39,10,143,Entire home/apt
